uid,created_date,survival_time,country,have_services,log_score,label
278,2022-09-30,99.0,-,1,-199833.49873295912,scam
279,2021-04-25,633.0,US,0,-5879.034919654398,scam
280,2022-08-04,163.0,US,0,-100652.65205617686,scam
281,2022-06-14,214.0,DE,0,-62.21581036608174,scam
282,2022-07-05,197.0,SG,0,-36.054089850944685,scam
283,2022-09-10,119.0,CA,0,-199833.49873295912,scam
284,2022-09-20,109.0,US,0,-34411.32324619773,scam
285,2022-07-20,178.0,US,0,-100652.65205617686,scam
286,2022-09-28,108.0,US,1,-5879.034919654398,scam
287,2022-08-31,129.0,GB,0,-52.04875628141857,scam
288,2022-11-04,64.0,GB,0,-13.61370563888011,scam
289,2022-09-19,121.0,-,0,-199833.49873295912,scam
290,2021-04-21,626.0,US,1,-16921.43165549624,scam
291,2022-09-29,111.0,TR,0,-131.17971843439497,scam
292,2022-07-26,176.0,US,0,-1785.1978816246228,scam
293,2021-07-01,565.0,US,1,-676.0540898509447,scam
294,2021-03-07,682.0,-,1,-199833.49873295912,scam
295,2021-10-10,454.0,US,0,-781.515093350212,scam
296,2022-11-02,73.0,DE,0,-812.7373201229586,scam
297,2021-12-16,398.0,US,0,-100652.65205617686,scam
298,2020-03-01,1053.0,US,0,-300.3232461977317,scam
299,2015-01-23,2906.0,-,0,-199833.49873295912,scam
300,2022-07-20,171.0,-,0,-199833.49873295912,scam
301,2022-01-24,348.0,CA,0,-199833.49873295912,scam
302,2021-10-21,454.0,US,0,-419.0540898509447,scam
303,2020-07-13,918.0,-,1,-199833.49873295912,scam
304,2021-03-18,670.0,-,0,-199833.49873295912,scam
305,2022-09-26,110.0,ZA,0,-22.00426772644601,scam
306,2022-06-23,209.0,US,0,-199833.49873295912,scam
307,2022-08-02,168.0,-,0,-199833.49873295912,scam
308,2022-10-26,80.0,IN,0,-3753.386615781621,scam
309,2022-10-11,95.0,US,0,-3753.386615781621,scam
310,2019-08-05,1258.0,US,0,-100652.65205617686,scam
311,,,AU,0,-187.2638015516055,scam
312,2022-06-11,220.0,US,0,-199833.49873295912,scam
313,2021-06-23,574.0,US,0,-146.05408985094468,scam
